iter	Passed	Remaining
0	0	97
1	1	88
2	2	85
3	3	80
4	4	79
5	5	78
6	6	85
7	7	84
8	8	82
9	9	81
10	9	80
11	10	79
12	11	78
13	12	77
14	13	76
15	14	75
16	15	75
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	21	71
23	22	70
24	23	69
25	24	68
26	24	67
27	25	66
28	26	65
29	27	65
30	28	64
31	29	63
32	30	62
33	32	62
34	33	61
35	34	61
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	78	23
77	79	22
78	80	21
79	82	20
80	83	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	102	3
97	103	2
98	104	1
99	105	0
