iter	Passed	Remaining
0	155	155038
1	157	78422
2	159	52936
3	160	39976
4	161	32218
5	164	27234
6	166	23583
7	167	20787
8	168	18604
9	170	16903
10	172	15500
11	174	14332
12	175	13332
13	177	12482
14	179	11754
15	180	11093
16	181	10494
17	182	9955
18	183	9473
19	184	9034
20	185	8640
21	186	8283
22	187	7956
23	188	7656
24	189	7381
25	190	7128
26	191	6910
27	193	6704
28	194	6505
29	195	6324
30	196	6153
31	198	5995
32	199	5841
33	200	5697
34	201	5559
35	203	5441
36	204	5329
37	206	5234
38	208	5131
39	209	5027
40	210	4929
41	212	4837
42	213	4747
43	214	4663
44	215	4579
45	217	4501
46	218	4429
47	220	4374
48	221	4306
49	223	4242
50	224	4178
51	225	4117
52	227	4059
53	228	4005
54	230	3952
55	231	3899
56	232	3850
57	235	3822
58	236	3778
59	238	3732
60	239	3689
61	241	3649
62	242	3610
63	244	3573
64	245	3537
65	247	3501
66	249	3480
67	251	3452
68	253	3416
69	254	3382
70	256	3351
71	257	3319
72	258	3287
73	260	3257
74	262	3231
75	264	3212
76	266	3191
77	267	3166
78	269	3140
79	270	3114
80	272	3090
81	273	3065
82	274	3033
83	276	3010
84	278	2993
85	279	2975
86	281	2951
87	282	2929
88	284	2907
89	285	2885
90	286	2864
91	288	2843
92	289	2823
93	290	2804
94	294	2801
95	295	2784
96	296	2764
97	298	2745
98	299	2726
99	301	2710
100	302	2692
101	304	2676
102	305	2661
103	308	2656
104	309	2640
105	311	2623
106	312	2608
107	313	2592
108	315	2578
109	316	2563
110	318	2549
111	319	2536
112	321	2525
113	323	2514
114	324	2500
115	326	2486
116	327	2471
117	328	2458
118	330	2445
119	331	2432
120	333	2421
121	334	2409
122	336	2401
123	338	2391
124	339	2379
125	341	2367
126	342	2354
127	343	2342
128	345	2331
129	346	2320
130	348	2309
131	349	2299
132	351	2293
133	353	2286
134	355	2276
135	356	2267
136	358	2257
137	359	2247
138	361	2240
139	363	2231
140	365	2226
141	366	2215
142	368	2207
143	369	2197
144	371	2189
145	372	2180
146	374	2172
147	375	2164
148	377	2156
149	378	2147
150	381	2142
151	382	2136
152	384	2128
153	385	2119
154	387	2111
155	389	2105
156	390	2097
157	392	2090
158	394	2085
159	396	2079
160	396	2068
161	398	2060
162	399	2052
163	401	2044
164	402	2036
165	404	2030
166	405	2022
167	406	2015
168	408	2009
169	410	2006
170	412	1999
171	413	1991
172	415	1984
173	416	1978
174	418	1972
175	419	1965
176	421	1958
177	423	1953
178	425	1951
179	427	1945
180	428	1939
181	429	1932
182	431	1925
183	432	1919
184	434	1912
185	435	1905
186	436	1899
187	439	1896
188	441	1892
189	442	1885
190	444	1881
191	445	1875
192	446	1868
193	448	1862
194	449	1855
195	450	1849
196	452	1843
197	454	1839
198	455	1833
199	457	1828
200	458	1822
201	459	1816
202	461	1811
203	462	1805
204	463	1799
205	465	1793
206	466	1787
207	468	1785
208	470	1780
209	471	1774
210	472	1767
211	474	1762
212	475	1756
213	476	1751
214	478	1746
215	479	1740
216	481	1735
217	483	1733
218	484	1728
219	485	1722
220	487	1717
221	488	1712
222	490	1707
223	491	1702
224	492	1697
225	494	1692
226	495	1688
227	498	1688
228	500	1683
229	501	1679
230	503	1674
231	504	1671
232	506	1666
233	507	1662
234	509	1658
235	511	1656
236	513	1653
237	515	1650
238	517	1646
239	518	1642
240	520	1638
241	521	1634
242	523	1630
243	525	1627
244	527	1624
245	528	1619
246	530	1616
247	531	1611
248	532	1607
249	534	1603
250	535	1598
251	537	1594
252	538	1590
253	540	1586
254	542	1583
255	543	1579
256	544	1575
257	546	1571
258	547	1567
259	549	1563
260	552	1564
261	554	1562
262	556	1559
263	558	1557
264	560	1553
265	561	1549
266	563	1546
267	564	1542
268	566	1538
269	567	1534
270	569	1532
271	571	1529
272	573	1525
273	574	1521
274	576	1518
275	577	1515
276	579	1512
277	581	1509
278	582	1505
279	585	1504
280	586	1501
281	588	1497
282	589	1494
283	591	1490
284	592	1486
285	594	1483
286	595	1479
287	596	1475
288	598	1473
289	600	1470
290	602	1467
291	603	1463
292	605	1460
293	606	1457
294	608	1454
295	609	1450
296	611	1446
297	613	1444
298	615	1441
299	616	1439
300	618	1436
301	620	1433
302	622	1430
303	623	1427
304	625	1424
305	626	1420
306	629	1420
307	630	1417
308	632	1414
309	633	1410
310	635	1407
311	636	1404
312	638	1400
313	639	1397
314	640	1393
315	642	1391
316	644	1388
317	646	1386
318	647	1382
319	649	1379
320	650	1376
321	652	1374
322	653	1370
323	655	1367
324	657	1365
325	659	1363
326	661	1360
327	662	1357
328	664	1354
329	665	1351
330	667	1348
331	668	1345
332	669	1341
333	672	1339
334	674	1338
335	675	1334
336	676	1331
337	678	1328
338	679	1325
339	681	1322
340	682	1319
341	684	1316
342	686	1314
343	688	1313
344	690	1310
345	692	1308
346	693	1305
347	694	1302
348	696	1298
349	697	1295
350	699	1292
351	701	1291
352	703	1289
353	704	1285
354	706	1283
355	707	1280
356	709	1276
357	710	1274
358	711	1271
359	713	1268
360	715	1266
361	717	1263
362	718	1260
363	719	1257
364	721	1254
365	722	1251
366	723	1248
367	725	1245
368	727	1243
369	728	1241
370	731	1239
371	732	1237
372	734	1234
373	735	1230
374	736	1227
375	738	1225
376	739	1222
377	741	1219
378	742	1217
379	744	1214
380	746	1212
381	747	1210
382	749	1207
383	750	1204
384	752	1201
385	753	1198
386	754	1195
387	756	1193
388	757	1190
389	759	1188
390	761	1186
391	763	1183
392	764	1180
393	766	1178
394	767	1175
395	769	1173
396	770	1170
397	772	1168
398	774	1167
399	777	1166
400	779	1164
401	780	1161
402	782	1159
403	784	1157
404	785	1154
405	786	1151
406	788	1149
407	790	1147
408	792	1145
409	794	1142
410	795	1140
411	797	1137
412	798	1135
413	800	1133
414	801	1130
415	804	1129
416	806	1127
417	808	1125
418	809	1122
419	811	1120
420	812	1117
421	814	1114
422	815	1112
423	816	1109
424	819	1108
425	821	1106
426	822	1104
427	824	1101
428	825	1099
429	827	1096
430	828	1094
431	830	1091
432	831	1089
433	834	1088
434	837	1087
435	839	1085
436	840	1083
437	842	1080
438	844	1078
439	845	1076
440	848	1075
441	850	1074
442	852	1072
443	854	1069
444	855	1067
445	857	1065
446	859	1063
447	861	1061
448	864	1060
449	867	1059
450	870	1059
451	872	1057
452	878	1060
453	881	1060
454	883	1058
455	885	1056
456	886	1053
457	889	1052
458	893	1052
459	895	1051
460	897	1049
461	899	1047
462	901	1045
463	903	1043
464	904	1041
465	908	1040
466	910	1039
467	912	1037
468	914	1035
469	916	1033
470	918	1031
471	920	1029
472	922	1028
473	925	1026
474	926	1024
475	928	1021
476	930	1019
477	932	1018
478	933	1015
479	936	1014
480	938	1013
481	940	1010
482	942	1008
483	943	1006
484	945	1004
485	947	1001
486	948	999
487	951	998
488	953	996
489	955	993
490	956	991
491	958	989
492	959	987
493	961	984
494	963	982
495	965	980
496	967	978
497	968	976
498	970	974
499	971	971
500	973	969
501	974	967
502	976	964
503	978	963
504	981	962
505	983	959
506	985	957
507	986	955
508	988	953
509	990	951
510	994	952
511	998	951
512	1000	949
513	1002	947
514	1003	945
515	1005	943
516	1011	945
517	1013	943
518	1015	941
519	1018	940
520	1020	937
521	1021	935
522	1027	936
523	1029	934
524	1031	933
525	1034	931
526	1035	929
527	1039	929
528	1044	930
529	1047	928
530	1049	927
531	1055	928
532	1057	926
533	1059	924
534	1061	922
535	1066	922
536	1071	923
537	1073	921
538	1075	920
539	1077	918
540	1079	916
541	1084	916
542	1087	915
543	1089	913
544	1093	912
545	1097	912
546	1100	911
547	1106	912
548	1108	910
549	1110	908
550	1113	907
551	1116	905
552	1118	904
553	1120	902
554	1122	899
555	1124	897
556	1126	896
557	1130	895
558	1132	893
559	1134	891
560	1140	892
561	1145	892
562	1146	890
563	1149	888
564	1151	886
565	1156	886
566	1160	886
567	1162	883
568	1165	882
569	1166	880
570	1168	878
571	1170	875
572	1172	873
573	1174	871
574	1176	869
575	1177	867
576	1179	864
577	1180	862
578	1182	859
579	1184	857
580	1186	855
581	1188	853
582	1190	851
583	1192	849
584	1194	847
585	1196	845
586	1197	842
587	1199	840
588	1201	838
589	1203	836
590	1205	834
591	1207	832
592	1209	830
593	1211	828
594	1213	825
595	1215	823
596	1217	822
597	1219	820
598	1221	817
599	1223	815
600	1225	813
601	1226	811
602	1228	808
603	1232	807
604	1234	805
605	1235	803
606	1237	801
607	1239	798
608	1240	796
